"id";"disease_code";"disease_name";"year";"location";"age";"sex";"cases";"cases_100k";"population"
139;"B05";"Measles";2006;"village";"0-3";"women";0;0.0;3289835
140;"B06";"Rubella";2006;"village";"0-3";"women";8;0.24;3289835
141;"P35.0";"Rubella congenital";2006;"village";"0-3";"women";0;0.0;3289835
142;"B15-B19";"Virus hepatitis";2006;"village";"0-3";"women";1;0.03;3289835
143;"B15";"Hepatitis A";2006;"village";"0-3";"women";1;0.03;3289835
144;"B16.2, B16.9";"Hepatitis B";2006;"village";"0-3";"women";0;0.0;3289835
145;"B17.1";"Hepatitis C";2006;"village";"0-3";"women";0;0.0;3289835
146;"B17.2";"Hepatitis E";2006;"village";"0-3";"women";0;0.0;3289835
147;"B16.0,B16.1, B17.0";"Hepatitis D";2006;"village";"0-3";"women";0;0.0;3289835
148;"B20, B21, B22, B24";"HIV";2006;"village";"0-3";"women";0;0.0;3289835
149;"B23";"HIV related diseases";2006;"village";"0-3";"women";0;0.0;3289835
150;"Z21";"HIV";2006;"village";"0-3";"women";0;0.0;3289835
151;"A51-A53";"Syphilis";2006;"village";"0-3";"women";0;0.0;3289835
152;"A50(A50.0-A50.7, A50.9)";"Congenital syphilis";2006;"village";"0-3";"women";0;0.0;3289835
153;"A54";"Gonococcal infection";2006;"village";"0-3";"women";0;0.0;3289835
154;"B26";"Mumps";2006;"village";"0-3";"women";0;0.0;3289835
155;"B25(B25.0-B25.2, B25.8, B25.9)";"Cytomegalovirus diseases";2006;"village";"0-3";"women";0;0.0;3289835
156;"P35.1";"Cytomegalovirus diseases congenital";2006;"village";"0-3";"women";0;0.0;3289835
157;"B27";"Infectious mononucleosis";2006;"village";"0-3";"women";2;0.06;3289835
158;"J00-J06";"Upper respiratory tract infection";2006;"village";"0-3";"women";9398;285.67;3289835
159;"J10,J11";"Influenza";2006;"village";"0-3";"women";318;9.67;3289835
160;"A48.1, A48.2";"Legionellosis";2006;"village";"0-3";"women";0;0.0;3289835
161;"A06(A06.0-A06.9), A07(A07.0, A07.3,A07.9)";"Amebiasis";2006;"village";"0-3";"women";0;0.0;3289835
162;"A07.1";"Giardiasis";2006;"village";"0-3";"women";0;0.0;3289835
163;"A07.2";"Cryptosporidiosis";2006;"village";"0-3";"women";0;0.0;3289835
164;"B50,B51,B52,B53,B54";"Malaria";2006;"village";"0-3";"women";0;0.0;3289835
165;"B58(B58.0-B58.3, B58.8,B58.9)";"Toxoplasmosis";2006;"village";"0-3";"women";0;0.0;3289835
166;"P37.1";"Toxoplasmosis congenital";2006;"village";"0-3";"women";0;0.0;3289835
167;"B67(B67.0-B67.9)";"Cystic echinocccosis";2006;"village";"0-3";"women";0;0.0;3289835
168;"B68(B68.0, B68.1, B68.9)";"Taeniasis";2006;"village";"0-3";"women";0;0.0;3289835
169;"B69(B69.0,B69.1,B69.8,B69.9)";"Cysticercosis";2006;"village";"0-3";"women";0;0.0;3289835
170;"B70.0";"Diphyllobothriasis";2006;"village";"0-3";"women";0;0.0;3289835
171;"B71.0";"Hymenolepiasis";2006;"village";"0-3";"women";0;0.0;3289835
172;"B75";"Trichinellosis";2006;"village";"0-3";"women";1;0.03;3289835
173;"B77(B77.0,B77.8, B77.9)";"Ascariasis";2006;"village";"0-3";"women";32;0.97;3289835
174;"B79";"Trichuriasis";2006;"village";"0-3";"women";0;0.0;3289835
175;"B80";"Enterobiasis";2006;"village";"0-3";"women";97;2.95;3289835
176;"B83.0";"Toxocariasis";2006;"village";"0-3";"women";0;0.0;3289835
177;"B55-B57,B65,B66, B72-B74,B78,B81";"Rare tropical infectious disease";2006;"village";"0-3";"women";0;0.0;3289835
178;"B85";"Pediculosis (insects)";2006;"village";"0-3";"women";6;0.18;3289835
179;"B86";"Scabies";2006;"village";"0-3";"women";59;1.79;3289835
180;"B35(B35.0-B35.6, B35.8,B35.9)";"Dermatophytosis";2006;"village";"0-3";"women";9;0.27;3289835
181;"A00(A00.0,A00.1,A00.9)";"Cholera";2006;"village";"0-3";"women";0;0.0;3289835
182;"A20(A20.0-A20.3, A20.7-A20.9)";"Plague";2006;"village";"0-3";"women";0;0.0;3289835
183;"B04";"Monkeypox";2006;"village";"0-3";"women";0;0.0;3289835
184;"B03";"Smallpox";2006;"village";"0-3";"women";0;0.0;3289835
185;"A78";"Q fever";2006;"village";"0-3";"women";0;0.0;3289835
186;"A81.0";"Creutzfeldt-Jakob disease";2006;"village";"0-3";"women";0;0.0;3289835
187;"A83(A83.0-A83.6, A83.8, A83.9)";"Mosquito encephalitis";2006;"village";"0-3";"women";0;0.0;3289835
188;"A90";"Dengue fever";2006;"village";"0-3";"women";0;0.0;3289835
189;"A91";"Dengue hemorrhagic fever";2006;"village";"0-3";"women";0;0.0;3289835
190;"A92(A92.0-A92.2,A92.4,A92.8,A92.9)";"Others mosquito fevers";2006;"village";"0-3";"women";0;0.0;3289835
191;"A95 (A95.0, A95.1,A95.9)";"Yellow fever";2006;"village";"0-3";"women";0;0.0;3289835
192;"A96.2";"Lassa fever";2006;"village";"0-3";"women";0;0.0;3289835
193;"A98 (98.0- 98.5,A98.8)";"Other hemorrhagic fever";2006;"village";"0-3";"women";0;0.0;3289835
194;"A98.3";"Marburg virus disease ";2006;"village";"0-3";"women";0;0.0;3289835
195;"A98.4";"Ebola virus disease";2006;"village";"0-3";"women";0;0.0;3289835
196;"A98.5";"Hemorrhagic fever with liver syndrome";2006;"village";"0-3";"women";0;0.0;3289835
197;"A01(A01.0)";"Typhoid fever";2007;"village";"0-3";"women";0;0.0;3249983
198;"A01(A01.1-A 01.3)";"Paratyphoid fever";2007;"village";"0-3";"women";0;0.0;3249983
199;"A02(A02.0-A02.2, A02.8,A02.9)";"Salonellosis";2007;"village";"0-3";"women";64;1.97;3249983
200;"A03(A03.0-A03.9)";"Shigellosis";2007;"village";"0-3";"women";5;0.15;3249983
201;"A04(A04.0-A04.8)";"Bacterial gastrointestinal infections";2007;"village";"0-3";"women";102;3.14;3249983
202;"A04(A04.0-A04.4)";"Bacterial gastrointestinal infections";2007;"village";"0-3";"women";11;0.34;3249983
203;"A04(A04.3)";"E.coli infection";2007;"village";"0-3";"women";0;0.0;3249983
204;"A04(A04.5)";"Bacterial gastrointestinal infections";2007;"village";"0-3";"women";37;1.14;3249983
205;"A04(A04.6)";"Bacterial gastrointestinal infections";2007;"village";"0-3";"women";31;0.95;3249983
206;"A04.9, A09";"Bacterial gastrointestinal infections";2007;"village";"0-3";"women";184;5.66;3249983
207;"A08(A08.0-A08.3,A08.5)";"Virus gastrointestinal infections";2007;"village";"0-3";"women";225;6.92;3249983
208;"A08(A08.0)";"Rotavirus gastroenteriti";2007;"village";"0-3";"women";150;4.62;3249983
209;"A08(A08.1)";"Virus gastrointestinal infections";2007;"village";"0-3";"women";55;1.69;3249983
210;"A08(A08.4)";"Virus gastrointestinal infections";2007;"village";"0-3";"women";86;2.65;3249983
211;"A05(A05.0-A05.4, A05.8, A05.9)";"Other toxic infections";2007;"village";"0-3";"women";6;0.18;3249983
212;"A15(A15.0-A15.9), A19";"Tuberculosis";2007;"village";"0-3";"women";1;0.03;3249983
213;"A17, A18";"Tuberculosis";2007;"village";"0-3";"women";0;0.0;3249983
214;"A21(A21.0-A21.3, A21.7-A21.9)";"Tularemia";2007;"village";"0-3";"women";0;0.0;3249983
215;"A22(A22.0-A22.2, A22.7-A22.9)";"Anthrax";2007;"village";"0-3";"women";0;0.0;3249983
216;"A23(A23.0-A23.3, A23.8,A23.9)";"Brucellosis";2007;"village";"0-3";"women";0;0.0;3249983
217;"A27(A27.0,A27.8, A27.9)";"Leptospirosis";2007;"village";"0-3";"women";0;0.0;3249983
218;"A28.2";"Yersinia pestis";2007;"village";"0-3";"women";0;0.0;3249983
219;"A32(A32.0,A32.1,A32.7-A32.9)";"Listeriosis";2007;"village";"0-3";"women";0;0.0;3249983
220;"A33,A34,A35";"Tetanus";2007;"village";"0-3";"women";0;0.0;3249983
221;"A36(A36.0-A36.3, A36.8,A36.9)";"Diphtheria";2007;"village";"0-3";"women";0;0.0;3249983
222;"A37(A37.0,A37.1, A37.8,
A37.9)";"Whooping cough";2007;"village";"0-3";"women";1;0.03;3249983
223;"A38";"Scarlet fever";2007;"village";"0-3";"women";22;0.68;3249983
224;"A39(A39.0-A39.5, A39.8,A39.9)";"Meningococcal disease";2007;"village";"0-3";"women";3;0.09;3249983
225;"G00(G00.0-G00.3, G00.8,G00.9)";"Bacterial meningitis";2007;"village";"0-3";"women";1;0.03;3249983
226;"A87(A87.0-A87.2, A87.8,A87.9)";"Virus meningitis";2007;"village";"0-3";"women";1;0.03;3249983
227;"A40.3,G00.1,J13";"Pneumococcal infection";2007;"village";"0-3";"women";0;0.0;3249983
228;"A41.3, A49.2, G00.0, J14";"Haemophilus influenzae disease";2007;"village";"0-3";"women";1;0.03;3249983
229;"A69.2";"Lyme disease";2007;"village";"0-3";"women";2;0.06;3249983
230;"A70";"Chlamydia psittaci infection";2007;"village";"0-3";"women";0;0.0;3249983
231;"A56";"Chlamydia";2007;"village";"0-3";"women";0;0.0;3249983
232;"A75 (A75.0, A75.1)";"Epidemic Typhus";2007;"village";"0-3";"women";0;0.0;3249983
233;"A80(A80.0-A80.4,A80.9)";"Poliomyelitis";2007;"village";"0-3";"women";0;0.0;3249983
234;"A82(A82.0, A82.1, A82.9)";"Rabies";2007;"village";"0-3";"women";0;0.0;3249983
235;"A84(A84.0, A84.1, A84.9)";"Tick-borne meningoencephalitis";2007;"village";"0-3";"women";0;0.0;3249983
236;"B01(B01.0-B01.2,B01.8,B01.9)";"Chickenpox";2007;"village";"0-3";"women";304;9.35;3249983
237;"B05";"Measles";2007;"village";"0-3";"women";0;0.0;3249983
238;"B06";"Rubella";2007;"village";"0-3";"women";0;0.0;3249983
239;"P35.0";"Rubella congenital";2007;"village";"0-3";"women";0;0.0;3249983
240;"B15-B19";"Virus hepatitis";2007;"village";"0-3";"women";0;0.0;3249983
241;"B15";"Hepatitis A";2007;"village";"0-3";"women";0;0.0;3249983
242;"B16.2, B16.9";"Hepatitis B";2007;"village";"0-3";"women";0;0.0;3249983
243;"B17.1";"Hepatitis C";2007;"village";"0-3";"women";0;0.0;3249983
244;"B17.2";"Hepatitis E";2007;"village";"0-3";"women";0;0.0;3249983
245;"B16.0,B16.1, B17.0";"Hepatitis D";2007;"village";"0-3";"women";0;0.0;3249983
246;"B20, B21, B22, B24";"HIV";2007;"village";"0-3";"women";0;0.0;3249983
247;"B23";"HIV related diseases";2007;"village";"0-3";"women";0;0.0;3249983
248;"Z21";"HIV";2007;"village";"0-3";"women";0;0.0;3249983
249;"A51-A53";"Syphilis";2007;"village";"0-3";"women";0;0.0;3249983
250;"A50(A50.0-A50.7, A50.9)";"Congenital syphilis";2007;"village";"0-3";"women";1;0.03;3249983
251;"A54";"Gonococcal infection";2007;"village";"0-3";"women";0;0.0;3249983
252;"B26";"Mumps";2007;"village";"0-3";"women";0;0.0;3249983
253;"B25(B25.0-B25.2, B25.8, B25.9)";"Cytomegalovirus diseases";2007;"village";"0-3";"women";0;0.0;3249983
254;"P35.1";"Cytomegalovirus diseases congenital";2007;"village";"0-3";"women";0;0.0;3249983
255;"B27";"Infectious mononucleosis";2007;"village";"0-3";"women";4;0.12;3249983
256;"J00-J06";"Upper respiratory tract infection";2007;"village";"0-3";"women";9994;307.51;3249983
257;"J10,J11";"Influenza";2007;"village";"0-3";"women";289;8.89;3249983
258;"A48.1, A48.2";"Legionellosis";2007;"village";"0-3";"women";0;0.0;3249983
259;"A06(A06.0-A06.9), A07(A07.0, A07.3,A07.9)";"Amebiasis";2007;"village";"0-3";"women";1;0.03;3249983
260;"A07.1";"Giardiasis";2007;"village";"0-3";"women";1;0.03;3249983
261;"A07.2";"Cryptosporidiosis";2007;"village";"0-3";"women";0;0.0;3249983
262;"B50,B51,B52,B53,B54";"Malaria";2007;"village";"0-3";"women";0;0.0;3249983
263;"B58(B58.0-B58.3, B58.8,B58.9)";"Toxoplasmosis";2007;"village";"0-3";"women";0;0.0;3249983
264;"P37.1";"Toxoplasmosis congenital";2007;"village";"0-3";"women";0;0.0;3249983
265;"B67(B67.0-B67.9)";"Cystic echinocccosis";2007;"village";"0-3";"women";0;0.0;3249983
266;"B68(B68.0, B68.1, B68.9)";"Taeniasis";2007;"village";"0-3";"women";0;0.0;3249983
267;"B69(B69.0,B69.1,B69.8,B69.9)";"Cysticercosis";2007;"village";"0-3";"women";0;0.0;3249983
268;"B70.0";"Diphyllobothriasis";2007;"village";"0-3";"women";0;0.0;3249983
269;"B71.0";"Hymenolepiasis";2007;"village";"0-3";"women";0;0.0;3249983
270;"B75";"Trichinellosis";2007;"village";"0-3";"women";0;0.0;3249983
271;"B77(B77.0,B77.8, B77.9)";"Ascariasis";2007;"village";"0-3";"women";37;1.14;3249983
272;"B79";"Trichuriasis";2007;"village";"0-3";"women";0;0.0;3249983
273;"B80";"Enterobiasis";2007;"village";"0-3";"women";95;2.92;3249983
274;"B83.0";"Toxocariasis";2007;"village";"0-3";"women";1;0.03;3249983
275;"B55-B57,B65,B66, B72-B74,B78,B81";"Rare tropical infectious disease";2007;"village";"0-3";"women";0;0.0;3249983
276;"B85";"Pediculosis (insects)";2007;"village";"0-3";"women";8;0.25;3249983
277;"B86";"Scabies";2007;"village";"0-3";"women";34;1.05;3249983
278;"B35(B35.0-B35.6, B35.8,B35.9)";"Dermatophytosis";2007;"village";"0-3";"women";8;0.25;3249983
279;"A00(A00.0,A00.1,A00.9)";"Cholera";2007;"village";"0-3";"women";0;0.0;3249983
280;"A20(A20.0-A20.3, A20.7-A20.9)";"Plague";2007;"village";"0-3";"women";0;0.0;3249983
281;"B04";"Monkeypox";2007;"village";"0-3";"women";0;0.0;3249983
282;"B03";"Smallpox";2007;"village";"0-3";"women";0;0.0;3249983
283;"A78";"Q fever";2007;"village";"0-3";"women";0;0.0;3249983
